word,type_id
amikal,1
amil,2
amilase,2
amilopektin,2
amin,0
amina,2
aminisasi,2
amino,2
amir,2
amirulbahar,2
amirulmukminin,2
amis,1
amit,2
amko,2
ammeter,2
amnesia,2
amnesti,2
amnion,2
amniotik,1
amoi,2
amonia,2
amonifikasi,2
amonium,2
amor,2
amoral,1
amorf,1
amortisasi,2
ampai,1
ampang,1
ampas,2
ampat,6
ampe,5
ampean,2
ampek,2
ampel,2
ampela,2
ampelas,2
ampere,2
amperemeter,2
amperometri,2
ampisilin,2
amplas,2
amplifikasi,2
amplitudo,2
amplop,2
ampo,2
amprok,4
amprung,1
ampu,4
ampuh,1
ampuk,2
ampul,4
ampula,2
ampun,2
amput,4
amputasi,2
amril,2
amsal,2
amtenar,2
amuba,2
amuk,2
amulet,2
amung,6
amunisi,2
ana,2
anabasis,2
anabiosis,2
anabolisme,2
anadrom,2
anaerob,2
anaerobik,1
anafilaksis,2
anafora,2
anaforis,1
anaglif,2
anai-anai,2
anak,2
anak emas,2
anak sungai,2
anak tiri,2
anakoluton,2
anakronisme,2
anal,1
analekta,2
analeptik,2
analgesik,2
analis,2
analisis,2
analitis,1
analog,1
analogi,2
analsit,2
anamel,2
anamnesis,2
anamorfosis,2
ananda,2
anang,2
anapes,2
anarki,2
anarkis,2
anarkisme,2
anarkistis,1
anasir,2
anastomosis,2
anatase,2
anatomi,2
anatomis,1
anca,2
ancam,4
ancang,2
ancol,2
anda,3
andai,2
andal,1
andalusit,2
andam,2
andan,2
andang,2
andapita,2
andesit,2
andewi,2
andika,2
andiko,2
andil,2
andilau,2
andong,2
andragogi,2
andrawina,2
androgen,2
androgini,2
andrologi,2
anduh,4
aneh,1
aneka,6
aneka ragam,1
anekdot,2
aneksasi,2
anemia,2
anemofili,2
anemograf,2
anemogram,2
anemometer,2
aneroid,1
anestesi,2
anestesia,2
aneuploid,2
aneurisme,2
angan,2
angel,1
angga,4
anggap,4
anggar,5
anggara,1
anggit,4
anggota,2
anggrek,2
anggrekwan,2
angguk,2
anggul,4
anggun,1
anggur,4
anggut,4
angin,2
angina,2
